object_id,gmted_drainage_density_without_1,srtm_filled_dem,GCN250_ARCIII_average,Inundation,sum,assam_dist_from_major_rivers_updated_3857,strm_filled_slope_degrees,ndvi,assam_soil_silt,assam_soil_loamysand,assam_soil_rocky,assam_lith_neogene,assam_lith_paleogene,assam_lith_paleozoic,assam_lith_quaternary,assam_lith_tertiary,assam_lith_undevelopedprecambrian,assam_lith_water,landuse_rangeland,landuse_vegetation,landuse_water,ind_ppp_UNadj,aged,young,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,proximity_hosptial_rd,proximity_embankment_rd,proximity_rail_rd,proximity_local_rd,proximity_arterial_rd,ndbi,population_affected,crop_area_affected,human_lives_lost,roads_dam,bridges_dam,embankment_total,Count_Roads_Bridges_Embankments,Sum_Roads_Bridges_Embankments,Count_Erosion,Sum_Erosion,Count_IM,Sum_IM,Count_new_const,Sum_new_const,Count_repair_rest_imp,Sum_repair_rest_imp,Count_relief_preparation,Sum_relief_preparation,Count_goods,Sum_goods,Count_Total,Sum_Total,Count_SDRF,Sum_SDRF,Count_SOPD,Sum_SOPD,Count_CIDF,Sum_CIDF,Count_LTIF,Sum_LTIF,Count_RIDF,Sum_RIDF
133,0.0006069793499,63.42565979,90.30772092,0.844806281,1590.706524,14556.07761,88.48636465,0.651194473,0,0,0,0,0,0,1,0,0,0,0,1,0,3332,210,434,245,425,1201,1161,159,3353,2287.858752,0.0008782373016,4087.154917,189.2765953,2921.357743,0.4483042828,51815,3650.5,0,213,2,17,15,1348037916,0,0,8,178481611,5,717820305,8,601717798,0,0,0,0,15,1348037916,8,178481611,0,0,0,0,0,0,6,1081560000
134,0.0005930055243,67.38165652,89.69292842,0.8580335838,1838.692982,18685.46839,89.5405911,0.677971096,0,0,0,0,0,0,0,0,1,0,0,1,0,3498,143,452,281,308,721,1183,68,3388,1657.248542,0.0007195062041,5001.099132,216.5358257,1069.692177,0.5288665272,106571,4343.5,4,240,2,17,24,1330872129,11,313471558,19,526161632,13,1022927178,9,447773061,0,0,0,0,44,1807006278,18,519498133,11,886039128,1,6020000,0,0,11,373919671
135,0.0005709705682,73.33308463,89.55140438,1.798542898,1970.95523,5874.626028,89.03949679,0.6768787391,0,0,0,0,0,0,1,0,0,0,0,1,0,1390,4,195,29,235,420,498,2,1431,2330.480485,0.0009498512594,3979.691849,350.8443491,1882.886192,0.5181983885,251752,25265.7,18,222,7,22,2,51401000,3,65880000,2,39999920,1,7755000,5,117281000,0,0,0,0,7,157280920,2,39999920,5,117281000,0,0,0,0,0,0
136,0.0005964363923,68.71547998,89.35656392,1.335920772,1582.971014,7032.262113,89.64204748,0.6565254014,0,0,0,0,0,0,1,0,0,0,0,1,0,2138,39,290,128,330,667,732,4,2101,3411.403831,0.0003892207572,8173.637864,287.5277555,2297.212987,0.5284389811,435899,18101.1,20,251,2,18,3,46699632,4,90329000,10,196789340,0,0,7,137028632,0,0,0,0,11,207027340,10,196789340,1,10238000,0,0,0,0,0,0
137,0.0005653389663,101.4526945,89.47061635,0.2625638578,1762.198307,22198.08876,86.62045527,0.6945535812,0,1,0,0,0,0,1,0,0,0,0,1,0,3979,15,299,60,451,1393,1117,763,6056,6476.229838,0.0002355231317,10471.87764,1968.21675,4854.690784,0.530760854,104911,25198.73,1,5,36,1,9,257448080,0,0,4,31281033,5,225741300,7,44835080,0,0,0,0,10,261972080,4,31281033,0,0,0,0,0,0,3,217137000
138,0.0005004113525,105.285249,88.77043207,0.1845052442,2146.010003,31367.24286,88.69471563,0.7452291369,0,1,0,0,0,0,1,0,0,0,0,1,0,2302,16,76,30,153,842,754,201,3756,7840.256977,0.0001067360793,4943.107901,1252.899217,3531.96265,0.5134313086,71989,993.52,2,7,37,4,3,176061355,2,53639117,5,81195883,1,129062000,2,46999355,0,0,0,0,8,263897000,5,81195883,1,33679124,0,0,0,0,2,149021993
139,0.0006378652412,68.09262966,90.49644652,0.338790643,1886.087459,4878.188379,79.78866249,0.572628632,0,0,1,0,0,0,1,0,0,0,0,1,0,3112,59,368,175,101,643,920,532,4951,4435.377057,0.0005318738772,7707.387998,1561.332377,4779.82339,0.5239386396,133283,5990.9,0,6,34,2,25,904959999,11,828823004,44,781696042,8,853217072,39,1174188568,0,0,0,0,63,2257797711,43,730828876,12,1081694682,0,0,0,0,5,327389260
140,0.0005788780869,80.3290759,89.91374682,0.4891156661,1954.474251,13845.20615,86.06917867,0.6535478902,0,0,0,0,0,0,1,0,0,0,0,1,0,1845,5,69,19,75,577,592,249,2865,4867.74192,0.000587284224,7360.712427,918.5124549,3602.148156,0.5394161938,3234,2740.85,2,2,34,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141,0.0006186237643,88.00441393,89.67048114,0.6134475896,1994.748955,12964.96013,87.0872991,0.6753722334,0,0,0,0,0,0,1,0,0,0,0,1,0,1094,1,49,9,70,332,298,199,1627,3756.736853,0.0006810187049,5256.415671,353.8711941,4078.536726,0.5443481567,90148,2676,265,165,83,27,5,367263868,0,0,10,507064619,0,0,5,167565708,0,0,0,0,10,507064619,10,507064619,0,0,0,0,0,0,0,0
142,0.0006210355571,95.9289313,89.56926784,0.7767163106,1928.946662,15648.59441,87.6182272,0.6774621234,0,0,0,0,0,0,1,0,0,0,0,1,0,1922,16,252,141,196,467,493,382,2922,4792.49595,0.0008163019998,9882.918655,438.1400515,4571.850392,0.5243311376,134436,7797.97,3,164,83,30,5,41267455,0,0,5,64495491,3,35551939,4,46767895,1,21052384,0,0,8,100047430,5,64495491,2,14499555,0,0,0,0,0,0
143,0.000579468766,110.1365463,89.3317378,0.5233637165,2534.71735,25230.24595,88.05955004,0.7312446109,0,1,0,0,0,0,1,0,0,0,0,1,0,1244,0,134,48,204,439,307,253,1861,3118.332264,0.00127773553,7279.130802,442.3260263,4924.530597,0.5070726033,43094,3431,4,168,85,40,11,160204450,0,0,9,74419174,1,17137000,11,152604135,0,0,0,0,12,169741135,9,74419174,2,78184961,0,0,0,0,1,17137000
